x,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10
I_1,1,0.94,0.63,0.48,0.38,0.62,0.69,0.43,0.38,0.08
I_2,0.94,1,0.71,0.48,0.38,0.62,0.61,0.43,0.27,0.08
I_3,0.63,0.71,1,0.55,0.43,0.35,0.61,0.46,0.38,0.22
I_4,0.48,0.48,0.55,1,0.66,0.3,0.41,0.63,0.23,0.49
I_5,0.38,0.38,0.43,0.66,1,0.47,0.3,0.52,0,0.33
I_6,0.62,0.62,0.35,0.3,0.47,1,0.31,0.23,0.17,0.2
I_7,0.69,0.61,0.61,0.41,0.3,0.31,1,0.59,0.53,0.28
I_8,0.43,0.43,0.46,0.63,0.52,0.23,0.59,1,0.26,0.52
I_9,0.38,0.27,0.38,0.23,0,0.17,0.53,0.26,1,0.85
I_10,0.08,0.08,0.22,0.49,0.33,0.2,0.28,0.52,0.85,1
