x,1.2.276.0.26.1.1.1.2.2021.113.69666.1469937.24903681,1.2.276.0.26.1.1.1.2.2021.113.69666.5960123.24903681,1.2.276.0.26.1.1.1.2.2021.100.52112.6905744.24903681,1.2.276.0.26.1.1.1.2.2021.100.52112.769958.24903681,1.2.276.0.26.1.1.1.2.2021.100.52112.8306444.24903681,1.2.276.0.26.1.1.1.2.2021.87.70870.6905744.24903681,1.2.276.0.26.1.1.1.2.2021.81.43009.6905744.24903681,1.2.276.0.26.1.1.1.2.2021.81.43009.769958.24903681,1.2.276.0.26.1.1.1.2.2020.394.64616.7044861.24903681,1.2.276.0.26.1.1.1.2.2020.394.64616.7233492.24903681
1.2.276.0.26.1.1.1.2.2021.113.69666.1469937.24903681,1,0.94,0.63,0.48,0.38,0.62,0.69,0.43,0.38,0.08
1.2.276.0.26.1.1.1.2.2021.113.69666.5960123.24903681,0.94,1,0.71,0.48,0.38,0.62,0.61,0.43,0.27,0.08
1.2.276.0.26.1.1.1.2.2021.100.52112.6905744.24903681,0.63,0.71,1,0.55,0.43,0.35,0.61,0.46,0.38,0.22
1.2.276.0.26.1.1.1.2.2021.100.52112.769958.24903681,0.48,0.48,0.55,1,0.66,0.3,0.41,0.63,0.23,0.49
1.2.276.0.26.1.1.1.2.2021.100.52112.8306444.24903681,0.38,0.38,0.43,0.66,1,0.47,0.3,0.52,0,0.33
1.2.276.0.26.1.1.1.2.2021.87.70870.6905744.24903681,0.62,0.62,0.35,0.3,0.47,1,0.31,0.23,0.17,0.2
1.2.276.0.26.1.1.1.2.2021.81.43009.6905744.24903681,0.69,0.61,0.61,0.41,0.3,0.31,1,0.59,0.53,0.28
1.2.276.0.26.1.1.1.2.2021.81.43009.769958.24903681,0.43,0.43,0.46,0.63,0.52,0.23,0.59,1,0.26,0.52
1.2.276.0.26.1.1.1.2.2020.394.64616.7044861.24903681,0.38,0.27,0.38,0.23,0,0.17,0.53,0.26,1,0.85
1.2.276.0.26.1.1.1.2.2020.394.64616.7233492.24903681,0.08,0.08,0.22,0.49,0.33,0.2,0.28,0.52,0.85,1
